sku,nombre,categoria,tags,descripcion,precio,stock,foto_url,visible,orden
ZP-FT-001,Sistema de Fresado CNC ZOI 1325 Z1,Fabricación Digital,"cnc,fresado,industrial,prototipado","Estación de fresado CNC profesional para producción y prototipado de alta precisión. Área de trabajo 1300 x 2500 mm, husillo de alta potencia y guías industriales para corte, grabado y tallado 2D/3D. Incluye instalación, capacitación y garantía técnica.",0.00,10,/product-images/producto-tecnico-01.jpg,TRUE,1
ZP-FT-002,Brazo Robótico Industrial DRX 1850Z,Robótica,"robotica,industrial,automatizacion,software","Sistema robótico multifuncional de seis grados de libertad, carga máxima de 20 kg y alcance de 1850 mm. Diseñado para carga, descarga, ensamblaje, pulido, detección y producción flexible. Incluye software avanzado con licencia perpetua.",0.00,10,/product-images/producto-tecnico-02.jpg,TRUE,2
ZP-FT-003,Cámara de Vacío ZOI VZ5G,Moldes y Resinas,"vacio,resina,silicona,laboratorio","Cámara de vacío para desgasificar resinas, siliconas y materiales compuestos. Elimina burbujas de aire para obtener moldes y piezas de alta calidad. Cámara de acero inoxidable y tapa transparente para control del proceso.",0.00,10,/product-images/producto-tecnico-03.jpg,TRUE,3
ZP-FT-004,Olla de Presión ZOI PZ5G,Moldes y Resinas,"presion,resina,moldes,prototipado","Olla de presión de 5 galones para fundición y fabricación con resinas. Ayuda a eliminar burbujas y obtener moldes y piezas precisas en prototipado, joyería y fabricación artesanal.",0.00,10,/product-images/producto-tecnico-04.jpg,TRUE,4
ZP-FT-005,Compresor de Aire ZOI C1,Aire y Soporte,"compresor,aire,taller,laboratorio","Compresor de aire fijo sin aceite para aplicaciones que requieren aire limpio, operación continua y alta confiabilidad. Caudal de 392 L/min, tanque de 120 litros y motor monofásico de 4 HP a 220 V.",0.00,10,/product-images/producto-tecnico-05.jpg,TRUE,5
ZP-FT-006,Sistema Láser CO2 ZOI 1390 P,Corte y Grabado,"laser,co2,corte,grabado","Máquina láser CO2 de 130 W con área de trabajo 1300 x 900 mm para corte y grabado en múltiples materiales. Incluye extractor de humo, bomba de aire, sistema de refrigeración, instalación y capacitación.",0.00,10,/product-images/producto-tecnico-06.jpg,TRUE,6
ZP-FT-007,Láser de Diodo UV Creality Falcon2 Pro 22W,Corte y Grabado,"laser,diodo,uv,grabado","Equipo láser de diodo UV para aplicaciones de grabado, corte ligero y fabricación digital. Incluye instalación, capacitación básica y garantía frente a defectos de fabricación.",0.00,10,/product-images/producto-tecnico-07.jpg,TRUE,7
ZP-FT-008,Plotter de Corte Silhouette CAMEO PRO MK-II,Rotulación,"plotter,corte,vinil,rotulacion","Máquina de corte de vinil de formato profesional para producción gráfica, rotulación y fabricación digital. Alta velocidad de corte y área amplia para trabajar con tapete o material en rollo.",0.00,10,/product-images/producto-tecnico-08.jpg,TRUE,8
ZP-FT-009,Impresora 3D FDM Bambu Lab H2S,Impresión 3D,"impresion3d,fdm,multicolor,prototipado","Sistema de fabricación aditiva por filamento para prototipado rápido, piezas funcionales y aplicaciones educativas. Permite impresión de alta velocidad, control automático y gran precisión dimensional.",0.00,10,/product-images/producto-tecnico-09.jpg,TRUE,9
ZP-FT-010,Impresora 3D de Resina Anycubic Photon Mono M7 Max,Impresión 3D,"impresion3d,resina,alta precision,prototipado","Impresora 3D de resina de gran formato para aplicaciones profesionales que requieren alta precisión, gran volumen y estabilidad en producción continua. Ideal para prototipos, diseño industrial y modelos técnicos.",0.00,10,/product-images/producto-tecnico-10.jpg,TRUE,10
ZP-FT-011,Escáner 3D Portátil Revopoint POP 3 Plus,Escaneo 3D,"escaner3d,portatil,metrologia,digitalizacion","Escáner 3D portátil de alta precisión para capturar objetos con gran nivel de detalle. Tecnología de luz infrarroja estructurada, precisión hasta 0.05 mm, velocidad de hasta 18 fps y conectividad USB/Wi-Fi.",0.00,10,/product-images/producto-tecnico-11.jpg,TRUE,11
ZP-FT-012,Estación de Soldadura YIHUA 948-II 4 en 1,Electrónica,"soldadura,electronica,retrabajo,pcb","Estación profesional de soldadura y retrabajo 4 en 1 para electrónica, mantenimiento de circuitos y reparación de componentes. Integra soldadura, aire caliente, desoldado y succión de humos.",0.00,10,/product-images/producto-tecnico-12.jpg,TRUE,12
ZP-FT-013,Osciloscopio Digital Hantek,Electrónica,"osciloscopio,medicion,electronica,laboratorio","Instrumento de medición para visualizar y analizar señales eléctricas en tiempo real. Permite medir voltaje, frecuencia y forma de onda con alta precisión en laboratorios y mantenimiento técnico.",0.00,10,/product-images/producto-tecnico-13.jpg,TRUE,13
ZP-FT-014,Fuente de Tensión Regulable DC Bench,Electrónica,"fuente,dc,laboratorio,pruebas","Fuente de alimentación DC regulable de laboratorio con control preciso de voltaje y corriente. Diseñada para pruebas electrónicas, ensayos de laboratorio y alimentación controlada de circuitos.",0.00,10,/product-images/producto-tecnico-14.jpg,TRUE,14
ZP-FT-015,Extractor de Humo KINGSOM Solder Fume Extractor,Seguridad y Ambiente,"extractor,humo,soldadura,seguridad","Extractor de humos para soldadura electrónica. Su sistema de filtración captura humo y contaminantes para mejorar la calidad del aire en laboratorios, reparación de equipos y entornos educativos.",0.00,10,/product-images/producto-tecnico-15.jpg,TRUE,15
